change1_original_id,patch_original_id,patch_name,date,is_correct
ffmpeg-change1-2232,ffmpeg-patch-3778,[FFmpeg-devel] lavc/aarch64: add a few SIMD function for AAC PS,2017-06-01T09:13:19,yes
ffmpeg-change1-17309,ffmpeg-patch-41977,[FFmpeg-devel] avcodec/noise_bsf: Check for wrapped frames,2023-06-04T18:07:25,yes
ffmpeg-change1-17309,ffmpeg-patch-41978,"[FFmpeg-devel,v2] avcodec/noise_bsf: Check for wrapped frames",2023-06-04T19:53:22,yes
ffmpeg-change1-12923,ffmpeg-patch-37633,"[FFmpeg-devel,2/3] riscv: initial common header for assembler macros",2022-09-03T19:01:46,yes
ffmpeg-change1-12923,ffmpeg-patch-37651,"[FFmpeg-devel,02/10] riscv: initial common header for assembler macros",2022-09-04T13:54:55,yes
ffmpeg-change1-1924,ffmpeg-patch-6501,[FFmpeg-devel] Fix for ticket 6796 (ffprobe show_frames ts dvbsubs infinate loop),2017-12-01T23:55:28,yes
ffmpeg-change1-1924,ffmpeg-patch-6502,[FFmpeg-devel] Fix for ticket 6796 (ffprobe show_frames ts dvbsubs infinate loop),2017-12-02T00:42:22,yes
ffmpeg-change1-21812,ffmpeg-patch-10424,"[FFmpeg-devel,3/4] avformat/rtpproto: use factorized ip functions",2018-09-20T22:12:01,yes
ffmpeg-change1-21812,ffmpeg-patch-10452,"[FFmpeg-devel,3/7] avformat/rtpproto: use factorized ip functions",2018-09-22T21:53:24,yes
ffmpeg-change1-4180,ffmpeg-patch-21567,[FFmpeg-devel] doc/encoders: Add all options for JPEG2000 encoder,2020-08-09T17:43:38,yes
ffmpeg-change1-4180,ffmpeg-patch-21588,"[FFmpeg-devel,v2] doc/encoders: Add all options for JPEG2000 encoder",2020-08-10T16:44:00,yes
ffmpeg-change1-18112,ffmpeg-patch-28934,"[FFmpeg-devel,v1] avcodec/v4l2_context: don't reinit output queue when dynamic resolution change",2021-07-16T09:47:14,yes
